Country Code,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SAU,NE.TRD.GNFS.ZS,,,,,,,,,72.448941455807,73.13276002574341,72.36522026613771,71.90122219809541,79.8558093668863,120.620328857122,76.13842918816991,95.0663824226585,83.98089581304771,89.98168407125998,90.9143881174621,89.10033037362541,90.7561643535307,92.9118801604833,89.8500763323904,86.1452694224357,79.7444242547882,66.71352420027739,62.489286379728,67.9943663902833,66.5265839482753,71.823057426519,71.70801570539929,74.69927764017541,75.0920202290498,67.80700287213959,60.0713174042886,65.0417670583011,66.6538555940364,65.188117025498,56.0883806063661,57.84608697401521,68.1664513615029,63.5606286449077,64.592779159169,69.8311959739153,75.08283665693409,81.9540759410158,89.94460467689841,94.86331709676573,96.1026308742185,84.8583415624843,82.54982766863709,85.5435202828977,83.51178818295891,82.709049079995,80.6404710004866,72.0749960012283,61.86204202432511,64.1951849054675,66.5668213044185,
SAU,NE.IMP.GNFS.ZS,,,,,,,,,24.715255368245,24.9425757933987,21.5646747665096,17.917017712566302,18.2711329139205,20.9160656270305,13.2024513695911,21.7327034583359,24.251460564751703,32.561056282287105,41.5976780236815,34.2439444802068,27.300363001273304,30.0931874802484,39.1183513726505,47.676612411716214,45.222484213323,36.6424141284764,35.7862865660518,37.13259236409071,35.202817387200106,38.0773808690295,31.3732216282657,36.39088907192609,35.9852208437376,33.4541724792162,26.070365853713398,27.703902819965002,26.6310133173372,26.029489020843602,26.4560051516013,23.1795931195673,24.761180700094,23.9269063834781,23.643987457382398,23.9770301966002,24.0975055731163,24.903332951458893,30.1126964323542,34.9258769574815,33.9911288411164,37.7697209090451,32.9800376316971,29.4942805507509,29.2409476865863,30.7910914753617,33.7651794890848,38.7538247594186,30.717832631118302,29.342124433265198,26.664333917291604,
SAU,NE.EXP.GNFS.ZS,,,,,,,,,47.733686087562,48.19018423234471,50.80054549962811,53.9842044855291,61.584676452965795,99.70426323009173,62.9359778185788,73.3336789643226,59.72943524829601,57.420627788973,49.316710093780614,54.8563858934186,63.455801352257396,62.818692680234896,50.73172495973989,38.4686570107195,34.5219400414652,30.071110071800998,26.7029998136762,30.8617740261925,31.3237665610752,33.7456765574895,40.3347940771336,38.3083885682493,39.10679938531221,34.3528303929234,34.0009515505752,37.337864238336,40.0228422766992,39.158628004654396,29.6323754547648,34.6664938544479,43.4052706614089,39.633722261429604,40.9487917017867,45.854165777314996,50.9853310838178,57.050742989557,59.8319082445442,59.9374401392842,62.111502033102205,47.0886206534391,49.56979003694001,56.0492397321467,54.270840496372614,51.917957604633294,46.8752915114018,33.321171241809694,31.1442093932068,34.853060472202394,39.9024873871269,
SAU,SP.DYN.LE00.IN,45.63800000000001,46.145,46.665,47.207,47.78100000000001,48.408,49.107,49.88800000000001,50.75100000000001,51.692,52.703,53.771,54.872,55.981,57.078,58.148,59.178999999999995,60.169,61.11600000000001,62.01600000000001,62.863,63.66,64.411,65.122,65.795,66.43,67.028,67.589,68.116,68.611,69.078,69.52199999999999,69.945,70.34899999999999,70.733,71.09899999999998,71.445,71.766,72.06,72.327,72.561,72.759,72.92,73.051,73.15899999999998,73.256,73.355,73.467,73.598,73.75,73.917,74.089,74.25399999999998,74.402,74.533,74.65100000000002,74.76100000000002,74.874,,
SAU,SP.DYN.TFRT.IN,7.216,7.23,7.2429999999999986,7.2520000000000024,7.2570000000000014,7.26,7.2620000000000005,7.2639999999999985,7.267,7.273,7.28,7.289,7.298999999999999,7.307,7.312,7.313,7.309,7.298999999999999,7.2810000000000015,7.2520000000000024,7.206,7.138,7.0470000000000015,6.933,6.797999999999999,6.649,6.495,6.3420000000000005,6.194,6.0520000000000005,5.9110000000000005,5.761,5.593999999999999,5.407,5.2,4.98,4.754,4.533,4.325,4.137,3.971,3.83,3.708,3.6010000000000004,3.505,3.417,3.3310000000000004,3.2460000000000004,3.158,3.0660000000000003,2.97,2.8710000000000004,2.773,2.678,2.589,2.5069999999999997,2.435,2.373,,
SAU,NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955533010731.15,922710536942.2479,983485039215.7421,1073705703342.38,1249738613359.17,1505703548223.61,1670471797971.65,1762102223681.98,2067595186721.57,1709108806515.6,1980777000000.0,2406425475351.61,2555034156262.83,2534758246972.35,2483480427563.38,2153502186249.3,2064184586919.39,2199883464464.83,2414690624421.09,
SAU,NY.GDP.PCAP.KD.ZG,,,,,,,,,,2.02208720149071,52.21908983812101,15.292459519071,17.3091474172387,18.269900260286,10.583356135219699,-13.408368387888697,12.0312935627403,1.81194095929997,-10.0333393280813,5.9047612413882105,-0.382104337416905,-4.18931939164781,-25.614114961199608,-21.1615344733381,-10.171232305599698,-14.6087582965835,11.285416637795699,-10.843410770268301,8.42276251529597,-4.28958997561743,11.166583914666901,11.3126610014046,0.918959383107222,-4.032461861840201,-1.93211698437101,-2.06926386967066,0.507127603927799,-0.840952448029242,0.9369363819319008,-5.72296223920189,3.2264578364071603,-3.7211646121738196,-5.50512829738744,8.015580030544651,4.803447824519741,2.5439845828642795,-0.0736214974208309,-0.928231271107833,3.3606995531745603,-4.787315002245361,2.00891715906506,6.703981812193919,2.20265505033078,-0.367217943283805,0.75423477686536,1.4783722384876101,-0.601129290371532,-2.71045514136294,0.607923521071328,
SAU,NY.GDP.MKTP.KN,,,,,,,,,287965000000.0,305352000000.0,484432797100.0,583800702400.0,717669941300.0,891134559200.0,1035748457100.0,943270472100.0,1111370459600.0,1190203966100.0,1128078579400.0,1262539133600.0,1333903622900.0,1359821429700.0,1077931966100.0,904908943100.0,862727047800.0,778227227500.0,910625051100.0,850227880800.0,961686914400.0,956849476500.0,1102227692600.0,1267648704800.0,1318196706100.0,1300219911500.0,1307484502600.0,1310257564100.0,1344814614400.0,1359658436700.0,1398998284300.0,1346349988700.0,1422087778300.0,1404869937800.0,1365264204100.0,1518748044000.0,1639616721100.0,1731006499700.0,1779273923500.0,1812139430400.0,1925394026800.0,1885745000000.0,1980777000000.0,2178792459900.56,2296696613400.32,2358690305163.12,2444841036947.93,2545236206120.51,2587757552297.13,2568569261431.34,2631091082652.48,
SAU,NY.GDP.MKTP.KD.ZG,,,,,,,,,,6.0378865487125095,58.6473306544578,20.5122167398356,22.930640259538002,24.1705285281676,16.2280652688214,-8.928614314225461,17.8209742032695,7.09335989804639,-5.21972606960549,11.919431558705499,5.652457607116821,1.94300445362407,-20.72988831056961,-16.051386213733302,-4.66145191973627,-9.794502272239999,17.012746267606,-6.63249602314835,13.109312940329099,-0.503015880487268,15.1934258909531,15.007880251111699,3.987540168549701,-1.3637414292428502,0.5587201853892049,0.212091347506288,2.6374242169505497,1.10378204854823,2.8933625194487,-3.76328521563148,5.62541614258343,-1.21074386284246,-2.8191744042884,11.24206138556,7.9584416636786,5.573850121428831,2.7884022277423703,1.8471302516113202,6.249772754792991,-2.05926819384065,5.03949367491363,9.99685779371227,5.4114449021519695,2.69925472093664,3.65248170123174,4.10640886893449,1.6706247567266799,-0.7415026515431009,2.43411077754232,
SAU,EN.ATM.CO2E.PC,0.655055537216211,0.8465945601802201,1.4339236442035,1.53774986256051,1.5068473293769198,0.871394520850559,1.2787889276875,4.90991129200685,5.40198740568556,6.3040739626965,7.76012650973059,9.80371030776186,11.0033460191429,14.174275837193,14.0036192337068,11.232066935031801,13.014378324233801,14.3982421622046,13.3150066874103,15.116764447779,17.4797315702995,17.0185655718826,14.386551899456695,13.7637134642062,12.5386560445208,13.160565067760901,14.852581290712399,13.2016021962566,13.440808019491902,13.004893243119302,11.445465305842099,15.964519891676302,16.5214214615074,17.666662632130606,16.9075462530614,12.616756820065598,13.594250347210501,11.1422548977072,10.4977684718387,11.2138923580632,14.369801638543198,14.017782170731401,14.969150133272601,14.5735196733938,17.1114752279913,16.6963004105234,17.6640349068977,15.397423909542804,16.6164547472953,17.610212546211,18.9082484700578,17.6837298844953,19.3736599254191,18.003400413902106,19.44066648264711,,,,,
