Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
Greece,GRC,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,22630.0,24530.0,28500.0,33500.0,39318.0,44774.0,50857.0,52300.0,57000.0,61945.0,67536.0,70540.0,77802.0,84043.0,93424.0,102656.0,112650.0,122268.0,132000.0,140305.0,152254.0,159516.0,168715.0,178857.0,183410.0,193257.0,203161.0,207567.0,211651.0,215755.0,223718.0,228051.0,231177.0,234844.0,236197.0,240125.0,242446.0,242678.0,249819.0,253785.0,254527.0,256858.0,257737.0,258476.0,259766.0,259613.0,,,,,,,,,,,,,,
Greece,GRC,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.573372783998,149.853926264296,197.175446278638,194.01285932352403,356.469858980319,354.174616282712,475.893024710666,365.889531442102,179.77337304831502,126.98473032717199,148.09606000553998,169.190827869898,124.663929992946,98.09824688710671,115.44946863458799,,,,
Greece,GRC,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.376886271623,162.090339233038,176.41764929631,143.040924592649,124.62925696594401,96.9033891702376,119.047730829421,63.0961915979584,122.495909622127,159.707680250784,109.44881889763799,117.232270916335,123.0625,118.27268539843399,123.01121495327101,,,,
Greece,GRC,Agricultural land (sq. km),AG.LND.AGRI.K2,,89100.0,89020.0,90210.0,89910.0,86780.0,90900.0,91130.0,91430.0,91440.0,91550.0,91550.0,91600.0,91430.0,91410.0,91180.0,91150.0,91120.0,91750.0,91810.0,91800.0,92060.0,92060.0,91820.0,92090.0,91840.0,91800.0,91770.0,91790.0,92150.0,92220.0,91640.0,91670.0,91600.0,91700.0,91640.0,91720.0,89850.0,87820.0,86700.0,85290.0,84380.0,83430.0,82520.0,80800.0,80050.0,78630.0,77530.0,76570.0,75600.0,74890.0,73960.0,72830.0,71530.0,62010.0,61990.0,61360.0,,,,
Greece,GRC,Agricultural land (% of land area),AG.LND.AGRI.ZS,,69.1233514352211,69.0612878200155,69.9844840961986,69.7517455391777,67.3235065942591,70.51978277734679,70.6982156710628,70.9309542280838,70.9387121799845,71.0240496508922,71.0240496508922,71.0628394103957,70.9309542280838,70.9154383242824,70.7370054305663,70.71373157486421,70.6904577191621,71.1792086889061,71.2257564003103,71.2179984484096,71.4197051978278,71.4197051978278,71.233514352211,71.4429790535299,71.2490302560124,71.2179984484096,71.1947245927075,71.2102404965089,71.4895267649341,71.5438324282389,71.09387121799851,71.1171450737005,71.0628394103957,71.14041892940259,71.09387121799851,71.155934833204,69.7051978277735,68.1303335919317,67.2614429790535,66.1675717610551,65.4615981380915,64.7245927075252,64.0186190845617,62.6842513576416,62.10240496508921,61.00077579519011,60.1474010861133,59.4026377036462,58.6501163692785,58.0993017843289,57.377812257564,56.5011636927851,55.4926299456943,48.1070597362296,48.09154383242821,47.602792862684296,,,,
Greece,GRC,Arable land (hectares),AG.LND.ARBL.HA,,2794000.0,2863000.0,3057000.0,3001000.0,2991000.0,2995000.0,3020000.0,3053000.0,3017000.0,3010000.0,2991000.0,2985000.0,2957000.0,2948000.0,2908000.0,2888000.0,2868000.0,2923000.0,2929000.0,2903000.0,2925000.0,2928000.0,2900000.0,2922000.0,2890000.0,2879000.0,2870000.0,2863000.0,2893000.0,2899000.0,2867000.0,2864000.0,2839000.0,2836000.0,2821000.0,2810000.0,2789000.0,2784000.0,2762000.0,2741000.0,2720000.0,2717000.0,2712000.0,2629000.0,2639000.0,2584000.0,2567000.0,2556000.0,2547000.0,2567000.0,2552000.0,2540000.0,2510000.0,2224000.0,2171000.0,2140000.0,,,,
Greece,GRC,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.332696280684206,0.338887433620735,0.360511225437446,0.352626171959134,0.34981093718806,0.347703894666733,0.34776248237005397,0.349282928896956,0.34390529598197306,0.34232530548268697,0.33869185902990306,0.33582235638616,0.331164914303659,0.32894362455258397,0.321448827789539,0.31431789859765,0.308106190066068,0.309969534332016,0.306757525823035,0.301062846220977,0.300636733183615,0.29909557298713396,0.294517097072937,0.295276754251627,0.29091128715661896,0.288847042799226,0.286982924515991,0.285245078127561,0.286733789926912,0.284305103016713,0.27781204266270504,0.27540948168301,0.271404146011415,0.269763249456241,0.267085697395219,0.264874443857929,0.261601373721434,0.259689162147059,0.25665094857707393,0.253659883647757,0.25041124523252,0.24921982362537898,0.24816824928830103,0.23997865477039498,0.24018609097728502,0.23447505626403198,0.232339799355078,0.23073087978063603,0.229314495512161,0.23081748864637802,0.22980848362510997,0.22996808242200897,0.228905763874494,0.2041788169435,0.20063057700559198,0.198589992493484,,,,
Greece,GRC,Arable land (% of land area),AG.LND.ARBL.ZS,,21.675717610550798,22.211016291699,23.7160589604344,23.2816136539953,23.204034134988397,23.2350659425912,23.4290147401086,23.685027152831697,23.4057408844065,23.351435221101603,23.204034134988397,23.1574864235842,22.9402637703646,22.8704422032583,22.560124127230395,22.4049650892164,22.2498060512025,22.6764934057409,22.7230411171451,22.521334367726897,22.692009309542303,22.715283165244397,22.498060512024804,22.6687354538402,22.4204809930178,22.3351435221102,22.265321955003902,22.211016291699,22.443754848719898,22.490302560124103,22.2420480993018,22.2187742435997,22.0248254460822,22.0015515903801,21.8851823118697,21.799844840962,21.6369278510473,21.5981380915438,21.4274631497285,21.2645461598138,21.101629169899102,21.0783553141971,21.039565554693603,20.3956555469356,20.473235065942603,20.046547711404198,19.9146625290923,19.8293250581846,19.759503491078398,19.9146625290923,19.7982932505818,19.7051978277735,19.4724592707525,17.2536850271528,16.8425135764158,16.6020170674942,,,,
Greece,GRC,Land under cereal production (hectares),AG.LND.CREL.HA,,1772952.0,1758547.0,1644087.0,1766280.0,1779520.0,1716990.0,1690617.0,1708430.0,1635540.0,1601300.0,1633500.0,1565942.0,1519700.0,1566300.0,1549300.0,1538400.0,1506100.0,1543800.0,1576490.0,1606400.0,1618400.0,1618255.0,1571900.0,1533050.0,1489490.0,1467152.0,1475856.0,1456030.0,1448664.0,1470345.0,1499200.0,1396100.0,1367701.0,1355474.0,1306674.0,1318183.0,1308064.0,1287094.0,1248013.0,1273407.0,1283550.0,1287733.0,1274545.0,1261582.0,1252779.0,1195590.0,1173584.0,1232843.0,1229150.0,1161764.0,1120784.0,1134261.0,1109712.0,994470.0,1000722.0,979061.0,836606.0,,,
Greece,GRC,Permanent cropland (% of land area),AG.LND.CROP.ZS,,7.028704422032581,6.5089216446858,6.5089216446858,6.57098525989139,6.695112490302559,6.64080682699767,6.62529092319628,6.60201706749418,6.881303335919321,6.982156710628389,7.1295577967416595,7.17610550814585,7.26144297905353,7.31574864235842,7.43987587276959,7.55624515128006,7.672614429790539,7.734678044996119,7.734678044996119,7.92862684251358,7.95965865011637,7.9363847944142805,7.96741660201707,8.00620636152056,8.06051202482545,8.11481768813033,8.16136539953452,8.23118696664081,8.277734678045,8.28549262994569,8.35531419705198,8.36307214895268,8.38634600465477,8.40961986035687,8.40186190845617,8.44840961986036,8.50271528316524,8.51823118696664,8.595810705973621,8.63460046547711,8.78200155159038,8.75872769588829,8.78200155159038,8.78200155159038,8.81303335919317,8.82854926299457,8.797517455391779,8.82854926299457,8.83630721489527,8.820791311093869,8.90612878200155,8.81303335919317,8.719937936384799,8.56477889837083,8.61908456167572,8.642358417377809,,,,
