Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Kingdom,GBR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,42.7679936089328,42.412836181399896,41.3606760807594,47.2048557141767,58.4524099883197,52.484184618482,57.1180724604094,58.6098764056864,54.68142341704579,54.3642885191492,51.02143889064861,49.108854042403,49.33543868337321,50.5341286559484,55.1102049886726,54.6485801479865,50.259111746943205,49.6314896318796,47.1239507417853,48.4357315643799,48.0005577473756,45.0737537617714,46.0606421738548,49.482330211633204,51.60677886086351,50.83772269285149,52.133326719904794,50.60249820169379,48.9562152364474,49.23573720707271,52.1319288715111,52.273626806637104,50.7986302716023,49.9157040225086,49.973941920783396,52.349753701637404,56.255953700633896,52.4590259133152,56.1301087908846,54.3518422190244,58.5464880734266,62.3048541255971,61.1224180512883,61.1818356789624,58.398390087026385,56.6830960052084,58.498285374088105,61.94513886642979,61.7765075378058,
United Kingdom,GBR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,20.975952324107894,20.538115675320398,20.7405429511858,24.7729756724432,31.650322851343198,27.100059300474,29.1256186172267,28.9593824925737,26.6875857915199,27.0035449339823,24.4224676980794,23.1453876656075,23.7189678916198,24.788336630536694,27.5871744017801,26.7732143653394,25.431714065672107,25.285172107508306,25.1984043262174,26.0448510887678,24.9286570955686,22.727825163666,23.3903633158278,24.9247305484829,25.817001943113,25.2825931998843,25.9826177052505,25.0520589949437,24.7867768528685,25.3116913214943,26.933028856816602,27.2372724727705,26.687194114569,26.0590676228693,26.261241334173693,27.3761453697483,29.154877915660702,27.219272419202,29.1406985586167,27.978764030931202,30.2714168623164,31.6048353279704,31.1473140842167,31.2292345754384,29.896335267491693,29.031674123165804,30.059048479087,31.579013422524,31.769657960321002,
United Kingdom,GBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,21.7920412848249,21.874720506079502,20.620133129573606,22.4318800417335,26.8020871369765,25.3841253180079,27.992453843182698,29.650493913112697,27.9938376255259,27.360743585166894,26.5989711925692,25.963466376795395,25.616470791753397,25.745792025411703,27.5230305868925,27.875365782647094,24.827397681270998,24.3463175243714,21.925546415567798,22.390880475612196,23.071900651807,22.345928598105502,22.670278858027,24.557599663150306,25.7897769177505,25.5551294929672,26.150709014654304,25.550439206750106,24.169438383578896,23.924045885578398,25.1989000146945,25.0363543338666,24.1114361570333,23.856636399639306,23.712700586609802,24.973608331889,27.101075784973197,25.2397534941132,26.9894102322679,26.3730781880932,28.275071211110106,30.7000187976267,29.9751039670716,29.952601103524,28.502054819534607,27.651421882042605,28.439236895001198,30.3661254439058,30.006849577484797,
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.12682926829271,70.87804878048779,70.9268292682927,70.8268292682927,71.62439024390241,71.62439024390241,71.5731707317073,72.12439024390241,71.7243902439025,71.7219512195122,71.9731707317073,72.2731707317073,72.12439024390241,72.3243902439024,72.5243902439024,72.7243902439024,72.7756097560976,73.2243902439024,73.1756097560976,73.2756097560976,73.6756097560976,74.0268292682927,74.1780487804878,74.37804878048779,74.7780487804878,74.62926829268291,74.9292682926829,75.28048780487799,75.38048780487809,75.58292682926829,75.88048780487809,76.08292682926829,76.4341463414634,76.3853658536585,76.8853658536585,76.83658536585371,77.0878048780488,77.2109756097561,77.19024390243901,77.390243902439,77.7414634146342,77.9926829268293,78.14390243902442,78.4463414634146,78.7463414634146,79.0487804878049,79.24878048780491,79.44878048780491,79.6,80.05121951219509,80.4024390243902,80.9512195121951,80.9048780487805,81.0048780487805,81.3048780487805,80.95609756097559,81.1560975609756,81.1560975609756,,
United Kingdom,GBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.69,2.78,2.86,2.88,2.93,2.86,2.78,2.68,2.6,2.51,2.44,2.41,2.2,2.04,1.92,1.81,1.74,1.69,1.75,1.86,1.9,1.82,1.78,1.77,1.77,1.79,1.78,1.81,1.82,1.79,1.83,1.82,1.79,1.76,1.74,1.71,1.73,1.72,1.71,1.68,1.64,1.63,1.63,1.7,1.75,1.76,1.82,1.86,1.91,1.89,1.92,1.91,1.92,1.83,1.81,1.8,1.79,1.79,,
United Kingdom,GBR,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,683921318376.414,708435361092.029,740569070197.975,777917496972.933,744677708360.535,739827441279.978,758702481927.2759,777727123533.22,815936143449.3091,848962303839.0441,836322390519.197,830689915679.631,847420405534.6559,884169441397.695,901982871895.316,941109974231.468,964527611960.98,1016343848684.75,1078309368999.55,1108121725612.23,1120479348647.27,1110726046449.69,1115601267666.28,1144452888359.26,1184406045122.21,1219541856464.55,1252595197182.43,1301841013680.4,1349298897993.27,1399195118585.32,1444145871097.48,1493602645457.34,1536087104565.89,1591173382997.27,1630870537464.58,1682450454177.82,1727283358594.76,1764468990824.45,1744184363824.53,1678630341025.86,1715947644767.2,1733918239038.46,1761331668934.2,1808351243647.71,1865351718301.94,1916896000000.0,1958769649950.57,1991077090365.34,2017436765202.83,
United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.8992619817608896,0.24851886345067,4.09246873951061,4.84964492704,1.48804848290725,1.0146653605850602,2.23441236933108,4.929076843594389,1.50117298260513,2.3012929364415,3.05300441704117,3.9489054155643295,6.30300306977769,-2.52488079468608,-1.47294213676392,2.93462467341865,2.47659304056127,4.1966338021145,3.64864864682646,-2.14503482099208,-0.8056595695769321,2.04691358388816,4.18633053011337,2.11457975323145,3.95937090496798,2.90191696468558,5.07704943364693,5.5236594144459294,2.30209669197825,0.438627901426258,-1.39330977957196,0.0999580467631205,2.28083914092478,3.63079241181154,3.2979689109107406,2.23089464633352,3.5876925444642,3.3432656306274904,3.08396178304788,3.06854809392598,2.57869922054653,1.89208978908792,2.80655173264054,1.7931556595978302,2.4737118100297795,2.03555035598562,1.63605845082763,-1.06289313354608,-4.9693502429548495,1.1534748933105,0.7495251794637451,0.7757723072172099,1.4579115443597002,1.8373873713874096,1.54505648217543,1.19302055364112,1.1774720837216102,0.729787205725756,
United Kingdom,GBR,GDP (constant LCU),NY.GDP.MKTP.KN,511553311200.0,525248201800.0,531041214900.0,556926202900.0,587744602000.0,600335129000.0,609779003400.0,626770340700.0,660873437900.0,673589282800.0,691843589000.0,715949651000.0,746749448200.0,795352211500.0,775759549900.0,764276323500.0,786511429300.0,805725200200.0,839583536000.0,870998173800.0,853334232100.0,846754066300.0,863776733100.0,900244225500.0,920736630100.0,959366834300.0,989495985200.0,1041946397900.0,1101944273600.0,1130250441500.0,1138606596100.0,1126219710500.0,1130398277400.0,1158956060000.0,1204096917900.0,1247102477200.0,1278174449000.0,1327445900500.0,1375829357600.0,1422995860900.0,1471910939800.0,1515690924200.0,1550920902900.0,1601890019600.0,1639918110800.0,1692063061300.0,1739243271200.0,1781516504400.0,1776507706800.0,1701044826100.0,1734207060400.0,1760916404800.0,1786959019200.0,1825190751900.0,1872782161000.0,1916896000000.0,1953665038500.0,1990629886100.0,2018213518300.0,
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.67711894345372,1.1029096492186998,4.8743839976478,5.5336593860234915,2.14217654354569,1.5731004140522302,2.78647464167507,5.441083437661152,1.92409683469894,2.71000543894044,3.4843225236564304,4.30195016604596,6.50857706251466,-2.4633943700299903,-1.4802558861802302,2.9093019260592,2.4429105775488,4.20221879514202,3.74169292905238,-2.02801133588324,-0.771112367519422,2.01034367326783,4.22186555883744,2.27631613950297,4.195575904893061,3.1405245441889305,5.30072011251248,5.7582497353917015,2.56874767428347,0.7393188529889301,-1.08789863350766,0.371025907382233,2.5263469673436605,3.8949585284536,3.57160280544558,2.4915331633181403,3.85482995208896,3.644853404705661,3.42822335047983,3.43747162195275,2.97436368031538,2.32435110202924,3.28637757120269,2.37395144077968,3.1797289240596496,2.78832455947308,2.43055321242285,-0.281153589519334,-4.24782174662953,1.94952148180782,1.54014736820638,1.4789239471568,2.13948570108317,2.6074759063105,2.3555243059579904,1.91815510596298,1.89207703836381,1.38567356958762,
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.1507591603053,11.1541389204545,11.1429283943662,11.254853457595502,11.2658388888889,11.4561595126228,11.3189607765995,10.7841045544886,10.993488228038599,11.3426704063274,11.732397299834304,11.8230362899475,11.562354178350699,11.745526944287699,10.983592860989098,10.7360536444124,10.654542018525301,10.7618685096132,10.767294990449901,11.4653910395961,10.286757041951901,9.955296647774473,9.74046165830407,9.687798404937741,9.381702908748188,9.90013978359926,10.034639390321301,10.0677466746359,10.020743961086401,10.191930628238199,9.710881678050141,9.87080903253514,9.66092999836993,9.45469582828167,9.448399895309393,9.27484623579539,9.48023105904642,9.042720852670053,9.09440391350297,9.0476360690091,9.19954923303155,9.23317498728384,8.90412310805173,9.05327783893049,8.98914012749737,8.98293853602857,8.89871022018899,8.61716368111307,8.42442398307829,7.57462213135116,7.85783648614987,7.0792976256723215,7.35589827677421,7.145844358769572,6.49744049045117,,,,,
