Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Russian Federation,RUS,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9144851657941,36.1067991307048,26.2567036110118,110.577064702788,68.6984432394613,50.9537126483831,55.182905465725696,47.922500819419,47.256921410074796,55.7722532849766,69.393281498812,68.09390703735549,61.110858664420604,59.645445731960706,59.1282690062584,56.5818523974086,56.713248489754896,54.7334018670627,51.7061227457717,53.3824660408908,48.4350610280677,50.3555054873676,47.9010999797824,47.1095520550072,46.1933552935524,47.784118888441604,49.350554397185796,46.302352412237,46.760770617429706,51.5104574912421,
Russian Federation,RUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0122164048866,17.9447376591121,12.9853414372542,48.2546028406102,30.493848755174604,23.1953336062219,25.893894116163807,21.849512689128197,22.527079880846,24.551047811796604,26.1733129859875,24.03346573184089,24.217365068386894,24.432851668898,23.8782872312785,22.1639613425553,21.510182525125494,21.0029264232118,21.5420622610532,22.072905707322,20.4969598237716,21.1399447023288,19.9241768817416,20.2261070957682,20.400390244729106,20.6827897103653,20.643292075759,20.5652079720604,20.7087088808965,20.769322518279,
Russian Federation,RUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.902268760907504,18.162061471592697,13.2713621737576,62.3224618621778,38.2045944842866,27.7583790421613,29.289011349561896,26.0729881302908,24.729841529228892,31.22120547318,43.2199685128244,44.0604413055146,36.8934935960337,35.2125940630626,35.24998177498,34.4178910548533,35.203065964629396,33.7304754438509,30.164060484718494,31.309560333568893,27.938101204296107,29.2155607850389,27.9769230980408,26.883444959239,25.7929650488232,27.101329178076305,28.707262321426807,25.7371444401766,26.0520617365331,30.7411349729631,
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.0552926829268,66.5970243902439,67.0214146341464,67.3399024390244,67.566512195122,67.7188536585366,67.812512195122,67.86014634146339,67.87434146341461,67.8671219512195,68.1336585365854,68.3765853658537,68.3085365853659,68.2946341463415,68.320243902439,67.7239024390244,67.4875609756098,67.3763414634146,67.3909756097561,67.11439024390239,67.0339024390244,67.2639024390244,67.8060975609756,67.6526829268293,67.2026829268293,67.8568292682927,69.38975609756099,69.44,69.4643902439024,69.1717073170732,68.8860975609756,68.47439024390239,66.87317073170729,64.9358536585366,64.46707317073171,64.6907317073171,65.85414634146339,66.6987804878049,67.02975609756099,65.9821951219512,65.4836585365854,65.3834146341463,65.1287804878049,65.04780487804881,65.4709756097561,65.52975609756099,66.7275609756098,67.5868292682927,67.9492682926829,68.6846341463415,68.8412195121951,69.68390243902441,70.0721951219512,70.5787804878049,70.74365853658541,71.1834146341463,71.6512195121951,72.11902439024391,,
Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.52,2.45,2.36,2.27,2.18,2.13,2.1,2.04,1.99,1.97,1.99,2.03,2.04,2.01,2.0,1.98,1.97,1.95,1.92,1.9,1.89,1.91,2.04,2.11,2.06,2.05,2.15,2.22,2.12,2.01,1.892,1.732,1.5519999999999998,1.385,1.4,1.337,1.27,1.218,1.232,1.157,1.195,1.223,1.286,1.32,1.344,1.294,1.305,1.416,1.5019999999999998,1.5419999999999998,1.567,1.582,1.6909999999999998,1.707,1.75,1.777,1.7619999999999998,1.7619999999999998,,
Russian Federation,RUS,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75337968434503.3,68700528053702.6,59938606178622.3,53751368909336.8,46035804307234.1,44054216005667.6,42425772631077.3,42536412743739.4,39724222492538.8,41930610830118.8,48701794334655.2,50632661132675.4,52754044941989.1,57332146713440.0,63726097956331.5,70549665774088.5,78713019234176.9,86169486638647.8,94508585256853.1,78611847986706.8,86529374838907.9,95818776536096.3,99856104801364.2,99966429098268.2,99161090920025.0,89797543014582.3,86014204300934.1,90285653791883.8,96431086020761.0,
Russian Federation,RUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.37349524092159,-5.25904796744634,-14.568436861932199,-8.56461483181215,-12.461305132246599,-4.16919294191121,-3.614960869306,1.56768822063935,-5.14309197458151,6.729707724511711,10.4636649564469,5.54678090756886,5.18278578020335,7.787899657549518,7.632419622324059,6.80662849205534,8.5548075660403,8.68569758368025,5.24620666881846,-7.827754904860001,4.45310320377916,4.21874117233119,3.52567499457483,1.58347451903256,-1.08094175867427,-2.51818098268866,0.145592470883599,1.5151745832613102,2.26178050398569,
Russian Federation,RUS,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75778162679531.9,73504821101379.5,69795077286600.0,59653103115600.0,54482049807100.0,47633789093600.0,45660069511800.0,43945502195700.0,44560702226400.0,42199002108400.0,44899702243300.0,49389702467700.0,51908602593500.0,54348302715400.0,58315702913700.0,62514403123400.0,66515303323300.0,71969603595800.0,78087003901500.0,82147504104400.0,75740003784200.0,79148303954500.0,82551704124600.0,85606164277200.0,87147075354200.0,87757081942867.0,85731905717603.3,86014204300934.1,87416395586567.4,89387464273126.1,
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.99999564223592,-5.04693945130884,-14.5310737738049,-8.66854034144572,-12.569755979716401,-4.14352840569045,-3.75506943907938,1.39991580471734,-5.29996162538214,6.39991468983672,10.0000668157438,5.10005122514623,4.69999190886617,7.299952344557401,7.19994786981057,6.399965447966349,8.20006825495356,8.499977768471402,5.19996926508021,-7.799993913456942,4.500000000014509,4.30002918578838,3.7000570551393,1.800000140189,0.699973678046774,-2.30770688863852,0.32928065807927004,1.63018573156532,2.25480434572114,
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9799735420912,13.0517497508753,11.4495360802502,10.9955584581268,10.886650666581199,10.3167892488639,10.127299166445301,10.4006827063484,10.6271205332605,10.669603403456199,10.7159010231412,11.0906474801145,11.120626975547099,11.2535286682124,11.6691220679875,11.6724565724157,12.0145065077043,11.0238562302845,11.6943481245069,12.334881003940199,12.7849790249662,12.3935564747819,11.857527773705199,,,,,
